hear,172.440000,172.770000
and i've got out,172.800000,173.480000
and i've got out of bed,172.780000,173.830000
i've got out of bed,173.130000,173.830000
and i've cum in,173.970000,174.660000
room,174.900000,175.150000
broom,174.870000,175.150000
it's really late,176.170000,176.710000
it's all my fault,176.980000,177.650000
fault,177.490000,177.660000
i try and i try,177.730000,178.850000
fiddle riddle diddle diddle fiddle riddle diddle diddle,180.500000,183.360000
fiddle riddle diddle diddle,180.500000,182.040000
for three hours,183.410000,184.260000
not taking any notice of michael,186.220000,189.070000
the front door opens,189.170000,190.760000
hello,190.910000,192.090000
my mom calls out,192.230000,193.100000
my mom,192.230000,192.640000
he gets to my brother's door,193.530000,194.940000
she gets to my brother's door,193.400000,194.940000
door,194.500000,195.100000
alright,196.360000,196.730000
right,196.550000,196.730000
let us in brian,198.810000,199.930000
says my dad cheerily,200.060000,201.310000
no answer from us inside,201.410000,202.950000
from us inside,202.100000,202.950000
no answer,201.430000,202.060000
my brother is waiting for me to,203.080000,204.560000
waiting for meat,203.820000,204.510000
my brother is waiting for me to say something i'm hoping he'll say something,203.080000,206.750000
i'm hoping,205.370000,205.900000
we're looking at each other,206.940000,207.950000
we're looking,206.940000,207.410000
at each other,207.480000,207.930000
come on brian,208.080000,209.290000
says my dad getting a bit cross,209.430000,211.020000
oh no,211.120000,211.940000
no,211.400000,211.940000
oh no the moment i dread,211.120000,213.700000
when dad goes from being cheery to absolutely furious,213.760000,218.160000
goes from,214.330000,214.910000
goes from being,214.330000,215.510000
being cheery,214.850000,216.240000
absolutely furious,216.680000,218.290000
absolutely,216.680000,217.540000
in a weedy little voice i say,218.490000,220.180000
i locked the door,220.210000,223.620000
that really winds them up,224.640000,226.060000
that really,224.640000,225.450000
really winds them up,225.020000,226.150000
really,225.020000,225.450000
there's my mom,226.220000,226.850000
there's,226.240000,226.370000
there's my,226.240000,226.630000
is that you michael,227.070000,227.960000
you promised you'd stay,228.630000,229.590000
you promised you'd stay in bed,228.630000,229.770000
it isn't fair,229.840000,230.490000
it isn't,229.840000,230.190000
and there's my dad and he's roaring,231.040000,232.650000
and he's roaring,231.890000,232.650000
would you believe it,232.660000,234.300000
would you believe it the little,232.660000,234.640000
would you believe it the little pig,232.660000,234.990000
would you believe it the little pea,232.660000,234.940000
and the door's jammed,235.060000,236.150000
i'll have to break it,236.210000,236.940000
i'll have to break it down,236.210000,237.300000
break it down,236.670000,237.300000
break,236.670000,236.870000
break it,236.670000,236.940000
god when i get inside,237.320000,238.510000
get inside,237.920000,238.510000
he's gonna be in for big trouble,238.960000,240.540000
big trouble,240.020000,240.540000
me i'm standing there all shaky and sorry and shuddery,240.670000,244.060000
standing there all shaky and sorry and shuddery,241.040000,244.060000
standing there all shaky,241.040000,242.690000
shaking and sorry and shuddery,242.070000,244.260000
me i'm standing there,240.710000,241.620000
i'm standing there,240.930000,241.620000
but my brother what's he doing,244.240000,245.590000
but my brother,244.240000,244.870000
he's smiling all over his big face,245.800000,248.340000
he's smiling all over his big face,245.800000,249.280000
*smiles*,248.610000,249.210000
yeah,249.580000,249.970000
passed it under the door,251.110000,252.160000
i dashed out,253.090000,253.800000
dashed out,253.300000,253.800000
off to bed,253.880000,254.520000
faster,254.660000,255.310000
faster than an electronic rabbit,254.660000,257.470000
faster than an electronic,254.660000,256.700000
*stares*,257.360000,259.270000
go to bed,20.090000,21.470000
of,62.734000,62.878000
on,64.000000,64.080000
babies,7.100000,7.610000
is,16.240000,16.480000
that,227.309000,227.455000
because,9.748000,10.241000
a,157.510000,157.690000
the moment i dread,212.310000,213.680000
open,24.741000,25.062000
